NAME                     VERSION                                  TYPE   
libmount1                2.37.2-4ubuntu3                          deb     
libmpdec3                2.5.1-2build2                            deb     
libmysqlclient21         8.0.31-0ubuntu0.22.04.1                  deb     
libncurses6              6.3-2                                    deb     
libncursesw6             6.3-2                                    deb     
libnettle8               3.7.3-1build2                            deb     
libnghttp2-14            1.43.0-1build3                           deb     
libnsl2                  1.3.0-2build2                            deb     
libp11-kit0              0.24.0-6build1                           deb     
libpam-modules           1.4.0-11ubuntu2                          deb     
libpam-modules-bin       1.4.0-11ubuntu2                          deb     
libpam-runtime           1.4.0-11ubuntu2                          deb     
libpam0g                 1.4.0-11ubuntu2                          deb     
libpcre2-8-0             10.39-3ubuntu0.1                         deb     
libpcre3                 2:8.39-13ubuntu0.22.04.1                 deb     
libperl5.34              5.34.0-3ubuntu1.1                        deb     
libpq5                   14.5-0ubuntu0.22.04.1                    deb     
libprocps8               2:3.3.17-6ubuntu2                        deb     
libpsl5                  0.21.0-1.2build2                         deb     
libpython3-stdlib        3.10.6-1~22.04                           deb     
libpython3.10            3.10.6-1~22.04.1                         deb     
libpython3.10-minimal    3.10.6-1~22.04.1                         deb     
libpython3.10-stdlib     3.10.6-1~22.04.1                         deb     
libreadline8             8.1.2-1                                  deb     
librtmp1                 2.4+20151223.gitfa8646d.1-2build4        deb     
libsasl2-2               2.1.27+dfsg2-3ubuntu1                    deb     
libsasl2-modules-db      2.1.27+dfsg2-3ubuntu1                    deb     
libseccomp2              2.5.3-2ubuntu2                           deb     
libselinux1              3.3-1build2                              deb     
libsemanage-common       3.3-1build2                              deb     
libsemanage2             3.3-1build2                              deb     
libsepol2                3.3-1build1                              deb     
libsmartcols1            2.37.2-4ubuntu3                          deb     
libsqlite3-0             3.37.2-2ubuntu0.1                        deb     
libss2                   1.46.5-2ubuntu1.1                        deb     
libssh-4                 0.9.6-2build1                            deb     
libssl3                  3.0.2-0ubuntu1.7                         deb     
libstdc++6               12.1.0-2ubuntu1~22.04                    deb     
libsystemd0              249.11-0ubuntu3.6                        deb     
libtasn1-6               4.18.0-4build1                           deb     
libtinfo6                6.3-2                                    deb     
libtirpc-common          1.3.2-2ubuntu0.1                         deb     
libtirpc3                1.3.2-2ubuntu0.1                         deb     
libudev1                 249.11-0ubuntu3.6                        deb     
libunistring2            1.0-1                                    deb     
libuuid1                 2.37.2-4ubuntu3                          deb     
libxml2                  2.9.13+dfsg-1ubuntu0.2                   deb     
libxxhash0               0.8.1-1                                  deb     
libyaml-0-2              0.2.2-1build2                            deb     
libzstd1                 1.4.8+dfsg-3build1                       deb     
login                    1:4.8.1-2ubuntu2                         deb     
logsave                  1.46.5-2ubuntu1.1                        deb     
lsb-base                 11.1.0ubuntu4                            deb     
mailcap                  3.70+nmu1ubuntu1                         deb     
mawk                     1.3.4.20200120-3                         deb     
media-types              7.0.0                                    deb     
mime-support             3.66                                     deb     
mount                    2.37.2-4ubuntu3                          deb     
mysql-common             5.8+1.0.8                                deb     
mysqlclient              1.4.6                                    python  
ncurses-base             6.3-2                                    deb     
ncurses-bin              6.3-2                                    deb     
ntlm-auth                1.5.0                                    python  
openssl                  3.0.2-0ubuntu1.7                         deb     
passwd                   1:4.8.1-2ubuntu2                         deb     
perl                     5.34.0-3ubuntu1.1                        deb     
perl-base                5.34.0-3ubuntu1.1                        deb     
perl-modules-5.34        5.34.0-3ubuntu1.1                        deb     
pip                      22.0.2                                   python  
procps                   2:3.3.17-6ubuntu2                        deb     
psycopg2                 2.9.2                                    python  
pyOpenSSL                22.1.0                                   python  
pyRFC3339                1.1                                      python  
pyasn1                   0.4.8                                    python  
pyasn1-modules           0.2.8                                    python  
pycparser                2.21                                     python  
pycryptodomex            3.16.0                                   python  
python                   3.10.6                                   binary  
python-dateutil          2.8.2                                    python  
python3                  3.10.6-1~22.04                           deb     
python3-asgiref          3.5.0-1                                  deb     
python3-distutils        3.10.6-1~22.04                           deb     
python3-django           2:3.2.12-2ubuntu1.3                      deb     
python3-lib2to3          3.10.6-1~22.04                           deb     
python3-minimal          3.10.6-1~22.04                           deb     
python3-mysqldb          1.4.6-1build1                            deb     
python3-pip              22.0.2+dfsg-1                            deb     
python3-pkg-resources    59.6.0-1.2                               deb     
python3-psycopg2         2.9.2-1build2                            deb     
python3-pymysql          1.0.2-1ubuntu1                           deb     
python3-setuptools       59.6.0-1.2                               deb     
python3-sqlparse         0.4.2-1                                  deb     
python3-tz               2022.1-1                                 deb     
python3-wheel            0.37.1-2                                 deb     
python3-yaml             5.4.1-1ubuntu1                           deb     
python3.10               3.10.6-1~22.04.1                         deb     
python3.10-minimal       3.10.6-1~22.04.1                         deb     
pytz                     2022.1                                   python  
readline-common          8.1.2-1                                  deb     
requests                 2.28.1                                   python  
requests-ntlm            1.1.0                                    python  
sed                      4.8-1ubuntu2                             deb     
sensible-utils           0.0.17                                   deb     
setuptools               59.6.0                                   python  
six                      1.16.0                                   python  
sqlparse                 0.4.2                                    python  
sysvinit-utils           3.01-1ubuntu1                            deb     
tar                      1.34+dfsg-1build3                        deb     
tzdata                   2022f-0ubuntu0.22.04.1                   deb     
ubuntu-keyring           2021.03.26                               deb     
urllib3                  1.26.13                                  python  
usrmerge                 25ubuntu2                                deb     
util-linux               2.37.2-4ubuntu3                          deb     
wheel                    0.37.1                                   python  
wrapt                    1.14.1                                   python  
xmltodict                0.13.0                                   python  
zlib1g                   1:1.2.11.dfsg-2ubuntu9.2                 deb     
