NAME                     VERSION                                  TYPE   
libssl3                  3.0.2-0ubuntu1.12                        deb     
libstdc++6               12.3.0-1ubuntu1~22.04                    deb     
libsystemd0              249.11-0ubuntu3.11                       deb     
libtasn1-6               4.18.0-4build1                           deb     
libtinfo6                6.3-2ubuntu0.1                           deb     
libtirpc-common          1.3.2-2ubuntu0.1                         deb     
libtirpc3                1.3.2-2ubuntu0.1                         deb     
libudev1                 249.11-0ubuntu3.11                       deb     
libunistring2            1.0-1                                    deb     
libuuid1                 2.37.2-4ubuntu3                          deb     
libxml2                  2.9.13+dfsg-1ubuntu0.3                   deb     
libxxhash0               0.8.1-1                                  deb     
libzstd1                 1.4.8+dfsg-3build1                       deb     
login                    1:4.8.1-2ubuntu2.1                       deb     
logsave                  1.46.5-2ubuntu1.1                        deb     
lsb-base                 11.1.0ubuntu4                            deb     
mailcap                  3.70+nmu1ubuntu1                         deb     
mawk                     1.3.4.20200120-3                         deb     
media-types              7.0.0                                    deb     
mime-support             3.66                                     deb     
mount                    2.37.2-4ubuntu3                          deb     
ncurses-base             6.3-2ubuntu0.1                           deb     
ncurses-bin              6.3-2ubuntu0.1                           deb     
openssl                  3.0.2-0ubuntu1.14                        deb     
passwd                   1:4.8.1-2ubuntu2.1                       deb     
perl                     5.34.0-3ubuntu1.3                        deb     
perl-base                5.34.0-3ubuntu1.3                        deb     
perl-modules-5.34        5.34.0-3ubuntu1.3                        deb     
pip                      22.0.2                                   python  
procps                   2:3.3.17-6ubuntu2.1                      deb     
pyOpenSSL                24.0.0                                   python  
pyRFC3339                1.1                                      python  
pyasn1                   0.5.1                                    python  
pyasn1-modules           0.3.0                                    python  
pycparser                2.21                                     python  
pycryptodomex            3.20.0                                   python  
pyspnego                 0.10.2                                   python  
python-dateutil          2.8.2                                    python  
python3                  3.10.6-1~22.04                           deb     
python3-distutils        3.10.8-1~22.04                           deb     
python3-lib2to3          3.10.8-1~22.04                           deb     
python3-minimal          3.10.6-1~22.04                           deb     
python3-pip              22.0.2+dfsg-1ubuntu0.4                   deb     
python3-pkg-resources    59.6.0-1.2ubuntu0.22.04.1                deb     
python3-setuptools       59.6.0-1.2ubuntu0.22.04.1                deb     
python3-wheel            0.37.1-2ubuntu0.22.04.1                  deb     
python3.10               3.10.12-1~22.04.3                        deb     
python3.10-minimal       3.10.12-1~22.04.3                        deb     
pytz                     2024.1                                   python  
readline-common          8.1.2-1                                  deb     
requests                 2.31.0                                   python  
requests-ntlm            1.2.0                                    python  
requests-pkcs12          1.24                                     python  
sed                      4.8-1ubuntu2                             deb     
sensible-utils           0.0.17                                   deb     
setuptools               59.6.0                                   python  
six                      1.16.0                                   python  
sysvinit-utils           3.01-1ubuntu1                            deb     
tar                      1.34+dfsg-1ubuntu0.1.22.04.2             deb     
tzdata                   2023d-0ubuntu0.22.04                     deb     
ubuntu-keyring           2021.03.26                               deb     
urllib3                  2.2.0                                    python  
usrmerge                 25ubuntu2                                deb     
util-linux               2.37.2-4ubuntu3                          deb     
wheel                    0.37.1                                   python  
wrapt                    1.16.0                                   python  
xmltodict                0.13.0                                   python  
zlib1g                   1:1.2.11.dfsg-2ubuntu9.2                 deb
